feature,delta_z
PC 28:1_20:4,-0.9874125648410159
PC 36:4_20:4,-1.4171151268162259
PC 36:5_20:4,-1.4669195158795691
None,-0.11520155083865208
LPC 20:5_0:0,0.45616364777332896
LPC 22:0_0:0,0.07443011378528007
LPC 22:1_0:0,0.2886381259941281
LPC 22:4_0:0,0.6477545926201506
LPC 22:4_0:0,0.20194780946468388
PC 22:6_22:4,-0.8596499435756155
LPC 22:6_0:0,0.8089167741110994
PC 22:6_22:6,-1.0438402942291534
PC 36:4_22:6,-1.3390885333963465
LPC 24:0_0:0,-0.42074448525768504
LPC 26:0_0:0,-0.553897141689619
LPC 26:1_0:0,-0.6953392933880629
LPC 26:1_0:0,-0.6558885988792016
PC O-16:0_14:0,0.4004714425569927
PC O-16:0_14:0,0.4004714425569927
LPC O-16:0_0:0,0.6375298580353561
PC O-16:0_16:0,0.3314084702465131
PC O-16:1_16:0,-0.29579305356798014
PC O-16:1_16:0,0.01618232644879738
PC O-18:1_16:0,-0.2693331494643766
PC P-18:0_16:0,-0.2693331494643766
PC O-18:2_16:0,0.8030159767801688
PC O-20:4_16:0,0.45053075060983894
LPC O-18:0_0:0,0.6369253741310477
PC O-18:0_16:0,-0.15104514986700973
PC O-18:1_18:0,0.3341499361537993
PC O-22:4_18:0,0.27831711079284643
LPC O-18:1_0:0,0.6129898227591055
PC O-20:4_18:1,0.6369023495632249
PC P-16:0_16:0,-0.3203339076226839
PC P-16:1_16:0,-0.39124187753200657
PC P-18:1_16:0,-0.4634094351445047
PC P-20:4_16:0,-0.10316709636940069
PC P-20:4_18:0,0.3891510138444184
PC P-22:6_18:0,0.5103768328683467
PC P-22:6_18:0,0.31239284189074734
PC P-18:1_18:1,-0.4172785564885929
None,0.29125038374770984
None,0.29125038374770984
None,0.0749943242931112
None,-0.38094262673954593
None,-0.38094262673954593
None,-0.9725436860355171
None,-1.311809377149577
None,-0.061652552363557406
None,0.5028667103815192
None,-0.039918140151027036
None,-1.112676920577199
None,-1.4199805668884786
None,-0.2251631801617807
None,0.12996124277725266
None,-0.6552939411644999
None,-0.3346778530336392
None,-0.4792485457181205
None,0.33090445297225085
None,-0.893674431532739
None,-0.9101581698220275
None,-0.8206828754886767
None,-0.8481773147161709
None,-0.12026677836124383
None,0.05216563459542449
None,0.02172850774848322
None,-1.0608212456673796
None,-1.0246894316730875
None,0.09100976699984159
None,-0.41682460429840695
None,-0.13962981519806122
None,-0.17488105912804908
None,-1.06610726792132
None,-1.06610726792132
TG 20:4_16:0_10:0,0.6845638862467635
TG 22:6_18:2_12:0,0.6688637715242214
TG 16:0_16:0_14:0,0.3574356921637317
TG 20:4_16:0_14:0,0.5677323052367761
TG 18:1_18:1_14:0,0.781187477309564
TG 18:1_16:1_16:0,0.781187477309564
TG 20:4_20:4_14:0,0.5478534824883057
TG 22:6_18:2_14:0,0.5478534824883057
TG 22:6_20:4_14:0,0.5937932287477534
TG 16:0_16:0_16:0,-0.007590285695720057
TG 17:0_16:0_16:0,0.6269353741183779
TG 18:0_16:0_16:0,0.013839351544340068
TG 18:1_16:0_16:0,0.8006667582529957
TG 18:1_18:0_16:0,0.9901228660357
TG 18:2_18:0_16:0,0.7989132511176215
TG 18:1_18:1_16:0,0.7989132511176215
TG 20:4_18:0_16:0,0.725794381722
TG 22:6_18:0_16:0,0.6984934714939413
TG 20:4_18:1_16:0,0.7847861354799645
TG 22:4_18:1_16:0,0.8201212725591207
TG 22:5_18:1_16:0,0.91328320346675
TG 20:4_18:1_18:1,0.91328320346675
TG 23:0_18:1_16:0,0.1922518078295014
TG 23:1_18:1_16:0,0.46980277806662574
TG 18:2_18:2_16:0,0.43177165528195527
TG 20:4_18:2_16:0,0.8459632635863497
TG 20:4_18:1_16:1,0.8459632635863497
TG 22:6_20:1_16:0,0.8765012564920218
TG 22:6_18:1_18:0,0.8765012564920218
TG 22:6_20:4_16:0,0.7036594671304701
TG 22:6_20:5_16:0,0.5246908249023317
TG 22:6_20:4_16:1,0.5246908249023317
TG 22:6_22:6_16:0,0.486602039274351
TG 18:1_18:1_16:1,0.6308674873163878
TG 18:2_18:1_16:0,0.6308674873163878
TG 18:2_18:2_16:1,0.3532692047064154
TG 20:4_18:2_16:1,0.6537051686742158
TG 22:6_20:5_16:1,0.42984436384403896
TG 18:2_18:1_17:1,0.7111457739797659
TG 18:1_18:1_18:0,1.0799717380576535
TG 20:1_18:1_16:0,1.0799717380576535
TG 22:4_18:1_18:0,0.8668673072116876
TG 22:5_18:1_18:0,0.8325439688667295
TG 22:6_18:0_18:0,0.8325439688667295
TG 22:4_20:4_18:0,0.8155086084636594
TG 22:6_20:4_18:0,0.7416139905605027
TG 22:6_22:4_18:0,0.7183284179326652
TG 22:6_22:6_18:0,0.6138336948317298
TG 22:4_18:1_18:1,0.8919192191118788
TG 25:0_18:1_18:1,0.07103533963630218
TG 26:1_18:1_18:1,0.6890484799863377
TG 18:2_18:2_18:1,0.5735622277427679
TG 24:1_18:2_18:1,0.8986475421231961
TG 22:2_19:1_18:1,0.5980165875334733
TG 28:2_23:0_18:1,0.3822257546987793
TG 18:2_18:2_18:2,0.4599241060118645
TG 18:3_18:2_18:2,0.3675917826406434
TG 20:4_18:2_18:2,0.7754963367291473
TG 22:6_18:2_16:0,0.7754963367291473
TG 20:4_20:4_18:2,0.7960426464131417
TG 22:6_18:2_18:2,0.7960426464131417
TG 22:4_20:4_18:2,0.7425967847504473
TG 22:6_22:6_18:2,0.6955582734080843
TG 22:6_20:4_20:4,0.6955582734080843
TG 22:6_20:5_20:4,0.6298366544953914
TG 22:6_22:5_20:4,0.761269800981439
TG 22:6_22:6_20:4,0.6161639325626536
TG 44:1;,0.8422362973513677
TG 46:1;,0.6528671792082129
TG 46:2;,0.8038049984227655
TG 48:1;,0.5868364380616433
TG 48:2;,0.7007413551458269
TG 48:4;,0.626006635085794
TG 49:1;,1.0090819136629785
TG 49:2;,0.9862958402472999
TG 50:3;,0.653122174822172
TG 51:1;,1.0498855523799837
TG 51:2;,1.0283157623316217
TG 51:3;,0.7992029985687805
TG 52:0;,-0.004844872085323946
TG 52:4;,0.6969098022398694
TG 52:5;,0.6040412838358027
TG 52:6;,0.6014760817698995
TG 53:2;,1.0795715272067004
TG 53:3;,0.9997498854922133
TG 54:1;,0.9490002000790925
TG 54:3;,0.9579035993573455
TG 54:4;,0.6987747459047812
TG 54:6;,0.6896588870222171
TG 54:7;,0.5433052485889475
TG 56:1;,0.7374015442147128
TG 56:3;,1.0364312319961477
TG 56:5;,0.8344995911289717
TG 56:7;,0.7966234132626377
TG 56:9;,0.6813782884859353
TG 58:1;,0.5486600660211666
TG 58:2;,0.8295274094802488
TG 58:8;,0.9039004344438758
TG 58:9;,0.8913585605414784
TG 59:1;,0.12455492166305877
TG 60:1;,0.4498692977379172
TG 60:11;,0.8197462630735807
TG 60:12;,0.7859582484364969
TG 60:13;,0.4628274381217975
TG 60:2;,0.5829537712484139
TG 60:3;,0.8837203147664425
TG 60:4;,0.5459051237071271
TG 60:9;,0.9203197023548794
TG 62:13;,0.6796746827874347
TG 62:2;,0.4489580351813704
None,-0.11557803606758002
None,0.9611711218190648
None,0.9611711218190648
None,1.0447358064269223
None,0.28334182894526566
None,0.8403490728795553
None,0.8566191654403844
None,0.7465944679075014
None,-0.01925267814835941
None,-0.35739058501546206
None,-0.5825696617275541
None,0.4887416801414233
None,0.0066975280126128755
None,0.5754678889760418
None,0.3275552988986016
None,-0.44412237260625215
None,0.010474138803849415
None,-0.3566809711051432
